"Ticker","Name_","Type_","Period_","EffectiveDate","ExpireDate","Measure_Code","Measure_Desc","UnitType","Curr","Value_","NumIncEsts"
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 11:00:00.000,,NOSHAREOUT,Number of Shares Outstanding,Shares,,10125.678,5
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-28 15:32:00.000,,PSR,Price/Sales Ratio,Percentage,,5.64,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,TAXPROV,Tax Provision,Currency,INR,296517.36842,19
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 10:29:00.000,,TAXRATE,Tax Rate,Percentage,,24.63333,12
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-22 17:30:00.000,,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,2633285.84615,13
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-22 17:30:00.000,,INTINC,Interest Income,Currency,INR,3808172.83333,6
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-04-21 22:11:00.000,,CURRASSETS,Current Assets,Currency,INR,2807049.0,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 10:29:00.000,,COSTFUNDS,Cost of Funds ,Percentage,,5.11667,6
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-07-22 07:07:00.000,,AVGIBL,Average Interest Bearing Liabilities,Currency,INR,44583.0,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-22 17:30:00.000,,CIRATIO,Cost per Income Ratio,Percentage,,39.90833,12
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 10:29:00.000,,TOTALLIAB,Total Liabilities ,Currency,INR,49307570.30769,13
HDFCBANK,HDFC Bank Ltd,Year,2028,2024-10-21 11:00:00.000,,BVPS,Book Value Per Share,Currency,INR,913.0,1
HDFCBANK,HDFC Bank Ltd,Year,2028,2024-10-21 11:00:00.000,,DPS,Dividend Per Share,Currency,INR,26.0,1
