"Ticker","Name_","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_"
TCS,Tata Consultancy Services Ltd,Year,2028,NOSHAREOUT,Number of Shares Outstanding,Shares,,3584.5
TCS,Tata Consultancy Services Ltd,Year,2028,TOTALLIAB,Total Liabilities ,Currency,INR,701000.0
TCS,Tata Consultancy Services Ltd,Year,2028,ROIC,Return on Invested Capital,Percentage,,121.8
TCS,Tata Consultancy Services Ltd,Year,2028,TAXPROV,Tax Provision,Currency,INR,222000.0
TCS,Tata Consultancy Services Ltd,Year,2028,SELLEXP,Selling & Marketing Expense,Currency,INR,0.0
TCS,Tata Consultancy Services Ltd,Year,2028,DPS,Dividend Per Share,Currency,INR,68.0
TCS,Tata Consultancy Services Ltd,Year,2028,REV,Sales,Currency,INR,3426595.0
TCS,Tata Consultancy Services Ltd,Year,2028,CAPEX,Capital Expenditures,Currency,INR,38462.0
TCS,Tata Consultancy Services Ltd,Year,2028,CFFINANCE,Cash Flow from Financing,Currency,INR,-516900.0
TCS,Tata Consultancy Services Ltd,Year,2028,CFOPERAT,Cash Flow from Operations,Currency,INR,649237.0
TCS,Tata Consultancy Services Ltd,Year,2028,DEPAMORT,Depreciation & Amortization,Currency,INR,58233.0
TCS,Tata Consultancy Services Ltd,Year,2028,COGS,Cost of Goods sold,Currency,INR,2132000.0
TCS,Tata Consultancy Services Ltd,Year,2028,AMORT,Amortization,Currency,INR,12845.0
TCS,Tata Consultancy Services Ltd,Year,2028,SG&A,SG&A Expense,Currency,INR,484000.0
TCS,Tata Consultancy Services Ltd,Year,2028,ROE,Return On Equity,Percentage,,40.5
TCS,Tata Consultancy Services Ltd,Year,2028,PPROFIT,Pretax Profit,Currency,INR,975044.0
TCS,Tata Consultancy Services Ltd,Year,2028,TA,Total Assets,Currency,INR,2571561.0
TCS,Tata Consultancy Services Ltd,Year,2028,NETREV,Net Revenue,Currency,INR,3295190.0
TCS,Tata Consultancy Services Ltd,Year,2028,SEQUITY,Shareholders Equity,Currency,INR,2237000.0
TCS,Tata Consultancy Services Ltd,Year,2028,ROA,Return on Assets,Percentage,,25.2
TCS,Tata Consultancy Services Ltd,Year,2028,NAV,Net Assets Value,Currency,INR,1946692.5
TCS,Tata Consultancy Services Ltd,Year,2028,NDEBT,Net Debt,Currency,INR,-1106698.0
TCS,Tata Consultancy Services Ltd,Year,2028,NPROFIT,Net Income,Currency,INR,738159.0
TCS,Tata Consultancy Services Ltd,Year,2028,EPSREP,As Reported EPS,Currency,INR,205.96
TCS,Tata Consultancy Services Ltd,Year,2028,INTEXP,Interest Expense,Currency,INR,6480.0
TCS,Tata Consultancy Services Ltd,Year,2029,EPSREP,As Reported EPS,Currency,INR,238.57
TCS,Tata Consultancy Services Ltd,Year,2029,NAV,Net Assets Value,Currency,INR,2766000.0
TCS,Tata Consultancy Services Ltd,Year,2029,NPROFIT,Net Income,Currency,INR,842000.0
TCS,Tata Consultancy Services Ltd,Year,2029,ROA,Return on Assets,Percentage,,24.1
TCS,Tata Consultancy Services Ltd,Year,2029,SEQUITY,Shareholders Equity,Currency,INR,2755000.0
TCS,Tata Consultancy Services Ltd,Year,2029,TA,Total Assets,Currency,INR,3501000.0
TCS,Tata Consultancy Services Ltd,Year,2029,ROE,Return On Equity,Percentage,,30.5
TCS,Tata Consultancy Services Ltd,Year,2029,REV,Sales,Currency,INR,3861000.0
TCS,Tata Consultancy Services Ltd,Year,2029,CAPEX,Capital Expenditures,Currency,INR,42863.0
TCS,Tata Consultancy Services Ltd,Year,2029,SG&A,SG&A Expense,Currency,INR,494000.0
TCS,Tata Consultancy Services Ltd,Year,2029,AMORT,Amortization,Currency,INR,15608.0
TCS,Tata Consultancy Services Ltd,Year,2029,COGS,Cost of Goods sold,Currency,INR,2294000.0
TCS,Tata Consultancy Services Ltd,Year,2029,GOODWILL,Goodwill,Currency,INR,34000.0
TCS,Tata Consultancy Services Ltd,Year,2029,SELLEXP,Selling & Marketing Expense,Currency,INR,0.0
TCS,Tata Consultancy Services Ltd,Year,2029,DPS,Dividend Per Share,Currency,INR,72.0
TCS,Tata Consultancy Services Ltd,Year,2029,EBIT,Earnings Before Tax,Currency,INR,1096000.0
TCS,Tata Consultancy Services Ltd,Year,2029,EBITDA,Earnings Before Interest Taxes and Depreciation,Currency,INR,1146000.0
TCS,Tata Consultancy Services Ltd,Year,2029,NPROFITREP,Reported Net Profit,Currency,INR,842000.0
TCS,Tata Consultancy Services Ltd,Year,2029,DEPREC,Depreciation,Currency,INR,34351.0
TCS,Tata Consultancy Services Ltd,Year,2029,EBITDAREP,EBITDA Reported,Currency,INR,1146000.0
TCS,Tata Consultancy Services Ltd,Year,2029,GROSSINC,Gross Income,Currency,INR,1567000.0
TCS,Tata Consultancy Services Ltd,Year,2029,TAXPROV,Tax Provision,Currency,INR,252000.0
TCS,Tata Consultancy Services Ltd,Year,2029,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,2083000.0
TCS,Tata Consultancy Services Ltd,Year,2029,ROIC,Return on Invested Capital,Percentage,,138.7
TCS,Tata Consultancy Services Ltd,Year,2029,TOTALLIAB,Total Liabilities ,Currency,INR,736000.0
TCS,Tata Consultancy Services Ltd,Year,2029,NOSHAREOUT,Number of Shares Outstanding,Shares,,3531.0
TCS,Tata Consultancy Services Ltd,Year,2029,PSR,Price/Sales Ratio,Percentage,,4.0
TCS,Tata Consultancy Services Ltd,Year,2029,EPS,Earnings Per Share,Currency,INR,238.57
